uniprot_acc	mlo	rol	db
P23497	PML nuclear body	unassigned	phasepdb_rev
Q8IYB3	Nuclear speckle	unassigned	phasepdb_rev
Q9UQ35	Nuclear speckle	unassigned	phasepdb_rev
Q96RS0	Cajal body	unassigned	phasepdb_rev
Q96GM8	Cajal body	unassigned	phasepdb_rev
P11387	Nucleolus	unassigned	phasepdb_rev
P11388	Nucleolus	unassigned	phasepdb_rev
P04637	Nucleolus	unassigned	phasepdb_rev
P04637	PML nuclear body	unassigned	phasepdb_rev
Q9NYH9	Nucleolus	unassigned	phasepdb_rev
Q14191	PML nuclear body	unassigned	phasepdb_rev
Q9H0D6	Nucleolus	unassigned	phasepdb_rev
Q96MU7	Sam68 nuclear body	unassigned	phasepdb_rev
P25490	Nuclear speckle	unassigned	phasepdb_rev
P25490	Nucleolus	unassigned	phasepdb_rev
Q9UKY1	Nuclear speckle	unassigned	phasepdb_rev
Q14145		unassigned	phasepdb_rev
Q16236		unassigned	phasepdb_rev
O43791	Nuclear speckle	unassigned	phasepdb_rev
Q9UER7	Nuclear speckle	unassigned	phasepdb_rev
P06241	Stress granule	unassigned	phasepdb_rev
O75683	Nucleolus	unassigned	phasepdb_rev
Q06787		unassigned	phasepdb_rev
Q9UHD9		unassigned	phasepdb_rev
Q9UHD9	Stress granule	regulator	phasepdb_rev
Q86YR5		unassigned	phasepdb_rev
Q07889		unassigned	phasepdb_rev
O43663	Polycomb body	unassigned	phasepdb_rev
Q14781	Polycomb body	unassigned	phasepdb_rev
P43243		unassigned	phasepdb_rev
Q12888		unassigned	phasepdb_rev
Q14676		unassigned	phasepdb_rev
O76064		unassigned	phasepdb_rev
Q8IYW5		unassigned	phasepdb_rev
P06748		unassigned	phasepdb_rev
Q15056		unassigned	phasepdb_rev
Q14011		unassigned	phasepdb_rev
P52948		unassigned	phasepdb_rev
P49790		unassigned	phasepdb_rev
P10071		unassigned	phasepdb_rev
P38432		unassigned	phasepdb_rev
O43781		unassigned	phasepdb_rev
O15169		unassigned	phasepdb_rev
Q16637		unassigned	phasepdb_rev
P98179		unassigned	phasepdb_rev
Q7Z5Q1		unassigned	phasepdb_rev
O43561		unassigned	phasepdb_rev
O60500		unassigned	phasepdb_rev
P78352		unassigned	phasepdb_rev
P62993		unassigned	phasepdb_rev
